id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13429120,JH225116,4/13/2024 22:19,027XX W DIVISION ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,FALSE,FALSE,1423,14,26,24,04B,2024,4/21/2024 15:40,41.9029372,-87.69535984,2
13429631,JH224916,4/13/2024 22:18,091XX S BUFFALO AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,STREET,FALSE,FALSE,424,4,10,46,15,2024,4/21/2024 15:40,41.72945809,-87.5442749,2
13434375,JH231590,4/13/2024 22:17,004XX E WATERSIDE DR,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,114,1,42,32,08B,2024,4/21/2024 15:40,41.88694453,-87.61552866,1
13428423,JH224151,4/13/2024 22:11,016XX E 79TH ST,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,FALSE,FALSE,414,4,8,46,08B,2024,4/21/2024 15:40,41.75151664,-87.58317357,0
13429190,JH224130,4/13/2024 22:02,011XX S SPAULDING AVE,031A,ROBBERY,ARMED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1134,11,24,29,3,2024,4/21/2024 15:40,41.86700015,-87.70812273,0
13428396,JH224117,4/13/2024 22:02,015XX S SAWYER AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,1022,10,24,29,04B,2024,4/21/2024 15:40,41.86044745,-87.70671818,2
13429110,JH224821,4/13/2024 22:00,061XX W GRAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2512,25,36,19,08B,2024,4/21/2024 15:40,41.9213365,-87.77983981,1
13429489,JH224226,4/13/2024 22:00,016XX W 81ST ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,FALSE,611,6,17,71,17,2024,4/21/2024 15:40,41.74669181,-87.66491452,1
13428390,JH224158,4/13/2024 22:00,001XX N WABASH AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,111,1,42,32,6,2024,4/21/2024 15:40,41.88530149,-87.62626674,2
13430249,JH224140,4/13/2024 22:00,037XX N MARSHFIELD AVE,620,BURGLARY,UNLAWFUL ENTRY,STREET,FALSE,FALSE,1922,19,47,6,5,2024,4/21/2024 15:40,41.94929242,-87.67013588,2
